ID,word
1,a
7,about
8,above
57,across
59,action
64,activity
65,actor
66,actress
73,add
78,address
95,adult
104,advice
113,afraid
114,after
116,afternoon
118,again
120,age
127,ago
128,agree
138,air
141,airport
153,all
169,also
175,always
178,amazing
196,and
200,angry
201,animal
213,another
214,answer
218,any
221,anyone
222,anything
226,apartment
239,apple
254,april
260,area
266,arm
270,around
276,arrive
278,art
279,article
282,artist
285,as
289,ask
317,at
339,august
340,aunt
349,autumn
358,away
361,baby
362,back
369,bad
372,bag
377,ball
382,banana
383,band
384,bank
403,bath
404,bathroom
409,be
410,beach
416,beautiful
418,because
419,become
420,bed
421,bedroom
424,beer
425,before
427,begin
428,beginning
432,behind
435,believe
439,below
451,best
454,better
455,between
458,bicycle
460,big
461,bike
462,bill
469,bird
471,birthday
478,black
490,blog
491,blonde
494,blue
497,boat
498,body
506,book
510,boot
512,bored
513,boring
514,born
517,both
519,bottle
526,box
527,boy
528,boyfriend
534,bread
535,break
537,breakfast
551,bring
558,brother
559,brown
569,build
570,building
580,bus
582,business
584,busy
585,but
586,butter
588,buy
589,by
590,bye
594,cafe
595,cake
598,call
600,camera
605,can
611,cannot
617,capital
622,car
624,card
626,career
633,carrot
634,carry
644,cat
654,cd
662,cent
664,centre
665,century
672,chair
680,change
691,chart
695,cheap
697,check
701,cheese
706,chicken
708,child
711,chocolate
714,choose
720,cinema
729,city
738,class
743,classroom
745,clean
754,climb
759,clock
760,close
765,clothes
768,club
776,coat
779,coffee
784,cold
793,college
797,colour
805,come
824,common
831,company
834,compare
851,complete
870,computer
880,concert
979,conversation
988,cook
990,cooking
991,cool
1006,correct
1018,cost
1023,could
1032,country
1038,course
1041,cousin
1045,cow
1051,cream
1052,create
1089,culture
1090,cup
1105,customer
1106,cut
1111,dad
1117,dance
1118,dancer
1119,dancing
1121,dangerous
1123,dark
1127,date
1128,daughter
1130,day
1136,dear
1143,december
1145,decide
1184,delicious
1220,describe
1221,description
1224,design
1229,desk
1238,detail
1259,dialogue
1264,dictionary
1265,die
1266,diet
1268,difference
1269,different
1272,difficult
1280,dinner
1290,dirty
1316,discuss
1319,dish
1357,do
1358,doctor
1363,dog
1364,dollar
1373,door
1378,down
1380,downstairs
1390,draw
1393,dress
1396,drink
1397,drive
1398,driver
1415,during
1418,dvd
1420,each
1422,ear
1423,early
1430,east
1432,easy
1433,eat
1458,egg
1460,eight
1461,eighteen
1462,eighty
1478,elephant
1480,eleven
1484,else
1486,email
1519,end
1538,enjoy
1541,enough
1594,euro
1598,even
1599,evening
1600,event
1602,ever
1603,every
1604,everybody
1606,everyone
1607,everything
1619,exam
1622,example
1632,excited
1634,exciting
1643,exercise
1660,expensive
1668,explain
1690,extra
1696,eye
1699,face
1702,fact
1716,fall
1717,false
1720,family
1721,famous
1724,fantastic
1726,far
1728,farm
1729,farmer
1734,fast
1736,fat
1739,father
1743,favourite
1748,february
1753,feel
1754,feeling
1759,festival
1761,few
1766,fifteen
1767,fifth
1768,fifty
1773,fill
1774,film
1777,final
1781,find
1783,fine
1785,finish
1786,fire
1792,first
1794,fish
1798,five
1805,flat
